TYPE
kern

GROUPS1

GROUPS2

VALUES
side1;side2;73c1fb1b
V;A;-111
V;a;-74
V;c;-72
V;d;-90
V;e;-72
V;f;-33
V;g;-56
V;o;-70
V;q;-58
V;s;-62
V;J;-144
A;V;-119
A;T;-86
A;W;-32
A;Y;-101
T;a;-87
T;c;-120
T;d;-117
T;e;-114
T;g;-104
T;n;-68
T;o;-86
T;p;-75
T;q;-98
T;s;-93
T;v;-101
T;w;-109
T;x;-113
T;y;-80
T;z;-65
T;A;-85
T;C;-62
T;J;-102
a;T;-80
a;v;-33
a;w;-14
a;t;-30
W;o;-32
W;q;-32
W;s;-26
W;A;-32
W;J;-51
v;a;-37
v;c;-34
v;d;-43
v;e;-31
v;g;-27
v;o;-31
v;q;-24
b;v;-40
e;v;-32
h;v;-34
m;v;-38
n;v;-31
o;v;-36
o;f;-30
p;v;-31
L;t;-47
L;v;-73
L;C;-46
L;T;-101
L;V;-100
L;W;-60
L;Y;-115
F;A;-80
F;C;-53
F;O;-43
F;a;-56
F;c;-52
F;d;-63
F;e;-47
F;g;-51
F;j;-29
F;o;-59
F;q;-50
F;s;-43
F;r;-21
F;G;-40
P;A;-53
P;J;-87
P;a;-32
P;c;-19
P;o;-21
P;q;-13
Y;A;-100
Y;J;-116
Y;C;-52
B;V;-49
B;Y;-41
K;C;-70
K;o;-29
D;X;-77
D;Y;-62
D;V;-55
k;e;-44
k;a;-26
w;a;-23
f;o;-30
g;e;-34
g;o;-25
r;e;-36
